created,facility,ward,subcounty,county,MOH_FacilityID,MOH_IndicatorCode,category,DATIM_Disag_ID,indicators,DATIM_Disag_Name,khis_data,datim_data,weight,concodance(%),khis_minus_datim
2021-11-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,Jbu4if6gtDp,TX_CURR,Hyvw9VnZ2ch.tEMe0224zlP,MOH 731 On ART_10-14(M) HV03-030,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Male, Positive",3,3,0.006666666666666667,0.6666666666666667,0
2022-07-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,EhZQp3PTA3C,TX_CURR,Hyvw9VnZ2ch.LyXZybq6Sjf,MOH 731 On ART_20-24 (F) HV03-035,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Female, Positive",17,30,0.06666666666666667,4.822695035460994,-13
2022-08-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,GSEmLUnrvzj,TX_CURR,Hyvw9VnZ2ch.AG0milXShQM,MOH 731 On ART_10-14 (F) HV03-031,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 10-14, Female, Positive",7,6,0.013333333333333334,1.230769230769231,1
2021-12-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,pR7VzBydoj3,TX_CURR,Hyvw9VnZ2ch.y9LP85d8t4b,MOH 731 On ART_25+(M) HV03-036,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Male, Positive",90,4,0.008888888888888889,0.07565011820330969,86
2022-05-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,AQsTt7jtKbt,TX_CURR,Hyvw9VnZ2ch.QqlHrg6f0Sm,MOH 731 On ART_15-19 (F) HV03-033,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Female, Positive",10,10,0.022222222222222223,2.2222222222222223,0
2022-05-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,yNCUlEYkmyA,TX_CURR,Hyvw9VnZ2ch.zqARzn2wVj5,MOH 731 On ART_25+ (F) HV03-037,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 25-29, Female, Positive",302,41,0.09111111111111111,2.1781665046971166,261
2021-12-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,e93GKJTHKAX,TX_CURR,Hyvw9VnZ2ch.NCnIv37EwU1,MOH 731 On ART_20-24(M) HV03-034,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 20-24, Male, Positive",6,6,0.013333333333333334,1.3333333333333335,0
2022-08-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,oOOnacUi9Jm,TX_CURR,Hyvw9VnZ2ch.LpnJL4zZxRH,MOH 731 On ART_15-19(M) HV03-032,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 15-19, Male, Positive",5,6,0.013333333333333334,1.2121212121212122,-1
2022-08-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,pR7VzBydoj3,TX_CURR,Hyvw9VnZ2ch.YDzeLL6xf5o,MOH 731 On ART_25+(M) HV03-036,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Male, Positive",303,15,0.03333333333333333,0.3144654088050315,288
2021-11-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,yNCUlEYkmyA,TX_CURR,Hyvw9VnZ2ch.Vi8sd7mvZW4,MOH 731 On ART_25+ (F) HV03-037,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 30-34, Female, Positive",301,50,0.1111111111111111,3.1655587211142766,251
2021-12-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,yNCUlEYkmyA,TX_CURR,Hyvw9VnZ2ch.hRq4baaUamW,MOH 731 On ART_25+ (F) HV03-037,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Female, Positive",299,55,0.12222222222222222,3.797865662272442,244
2021-10-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,pR7VzBydoj3,TX_CURR,Hyvw9VnZ2ch.XcW5HWccYYZ,MOH 731 On ART_25+(M) HV03-036,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 35-39, Male, Positive",89,16,0.035555555555555556,1.0835978835978837,73
2021-11-01,Bugumbe Health Centre,Tagare Ward,Kuria West Sub County,Migori County,OQUMus9IsA1,pR7VzBydoj3,TX_CURR,Hyvw9VnZ2ch.zouTxRQ0kXP,MOH 731 On ART_25+(M) HV03-036,"TX_CURR (N, DSD, Age/Sex/HIVStatus): Receiving ART 40-44, Male, Positive",90,16,0.035555555555555556,1.0733752620545072,74
